week,pollutant,group1,group2,meandiff,p_value,lower,upper,reject
1,pm25,0_hw_1,1_hw_2,0.3382,0.0001,0.1182,0.5581,TRUE
1,pm25,0_hw_1,2_hw_4,0.9117,0,0.5965,1.2269,TRUE
1,pm25,0_hw_1,hw_4,1.2568,0,0.8017,1.7119,TRUE
1,pm25,0_hw_1,non_canyon,-0.4868,0,-0.5908,-0.3829,TRUE
1,pm25,0_hw_1,on_viaduct,-0.4945,0,-0.6601,-0.329,TRUE
1,pm25,0_hw_1,under_viaduct,-0.8316,0.0027,-1.4765,-0.1867,TRUE
1,pm25,1_hw_2,2_hw_4,0.5736,0.0001,0.2066,0.9405,TRUE
1,pm25,1_hw_2,hw_4,0.9186,0,0.4262,1.411,TRUE
1,pm25,1_hw_2,non_canyon,-0.825,0,-1.0398,-0.6102,TRUE
1,pm25,1_hw_2,on_viaduct,-0.8327,0,-1.0832,-0.5822,TRUE
1,pm25,1_hw_2,under_viaduct,-1.1698,0,-1.8415,-0.498,TRUE
1,pm25,2_hw_4,hw_4,0.3451,0.4948,-0.1966,0.8867,FALSE
1,pm25,2_hw_4,non_canyon,-1.3986,0,-1.7102,-1.087,TRUE
1,pm25,2_hw_4,on_viaduct,-1.4063,0,-1.7435,-1.0691,TRUE
1,pm25,2_hw_4,under_viaduct,-1.7433,0,-2.452,-1.0347,TRUE
1,pm25,hw_4,non_canyon,-1.7436,0,-2.1962,-1.291,TRUE
1,pm25,hw_4,on_viaduct,-1.7513,0,-2.2219,-1.2807,TRUE
1,pm25,hw_4,under_viaduct,-2.0884,0,-2.8694,-1.3074,TRUE
1,pm25,non_canyon,on_viaduct,-0.0077,1,-0.1663,0.1509,FALSE
1,pm25,non_canyon,under_viaduct,-0.3448,0.6949,-0.988,0.2984,FALSE
1,pm25,on_viaduct,under_viaduct,-0.3371,0.7359,-0.993,0.3189,FALSE
2,pm25,0_hw_1,1_hw_2,0.1964,0.4803,-0.1084,0.5011,FALSE
2,pm25,0_hw_1,2_hw_4,0.5696,0.0023,0.133,1.0063,TRUE
2,pm25,0_hw_1,hw_4,0.7728,0.0056,0.1423,1.4033,TRUE
2,pm25,0_hw_1,non_canyon,-0.374,0,-0.5179,-0.23,TRUE
2,pm25,0_hw_1,on_viaduct,-0.3748,0,-0.6042,-0.1455,TRUE
2,pm25,0_hw_1,under_viaduct,-0.1646,0.9982,-1.0581,0.7289,FALSE
2,pm25,1_hw_2,2_hw_4,0.3733,0.3149,-0.1351,0.8817,FALSE
2,pm25,1_hw_2,hw_4,0.5765,0.1622,-0.1057,1.2586,FALSE
2,pm25,1_hw_2,non_canyon,-0.5703,0,-0.8679,-0.2727,TRUE
2,pm25,1_hw_2,on_viaduct,-0.5712,0,-0.9182,-0.2242,TRUE
2,pm25,1_hw_2,under_viaduct,-0.361,0.9146,-1.2917,0.5697,FALSE
